evidence_id,from_user,to_user,action,location,remarks,timestamp,id,created_at,updated_at
79de35ba-3b7d-4401-bda7-9ef2681b420a,,,Evidence Registered,Chikkamagaluru Town,Evidence logged for case CR-2026-DET-078,2026-08-29 12:45:07,05da4678-2ca1-4db1-8d67-81ee2f83cc27,2026-08-29 12:45:07,2026-08-29 12:45:07
7b68e0fd-eab9-4143-9362-2c58e905d567,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,05dc013f-279a-4d18-afcd-1e4bc4a7ac74,2026-08-29 12:45:07,2026-08-29 12:45:07
e113c123-7d70-4169-9c37-8a85ea036bb3,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,0619d6f3-a0ee-43ab-8d17-3d276c41a0e4,2026-08-29 12:45:07,2026-08-29 12:45:07
a16c06ec-e188-4fe5-842e-ed86db3d7cac,,,Evidence Registered,Arsikere Town Road,Evidence logged for case CR-2026-DET-293,2026-08-29 12:45:08,062df798-1cb6-440d-856c-42016d093411,2026-08-29 12:45:08,2026-08-29 12:45:08
c28cd8f2-8fb3-4136-ba36-4546d4c07fca,,,Evidence Registered,Channapatna Bus Stand,Evidence logged for case CR-2026-DET-158,2026-08-29 12:45:08,0665bd87-2082-4950-97f8-42d47af1082a,2026-08-29 12:45:08,2026-08-29 12:45:08
e8b37181-c12e-4f6e-82b7-6d62894b1845,,,Evidence Registered,Gulbarga University Road,Evidence logged for case CR-2026-DET-239,2026-08-29 12:45:08,070176da-1956-490c-80e2-a077e86770e7,2026-08-29 12:45:08,2026-08-29 12:45:08
575da2d3-23a3-4c0f-b88b-caa998e0be68,,,Evidence Registered,Sirsi Town Center,Evidence logged for case CR-2026-UKN-002,2026-08-29 12:45:07,075b1885-7e83-41aa-8739-32f06c8c9c17,2026-08-29 12:45:07,2026-08-29 12:45:07
2d89b384-7ad9-4a0b-b940-8b0de1fb9f1e,,,Evidence Registered,Koramangala Layout,Evidence logged for case CR-2026-BNG-003,2026-08-29 12:45:07,079c36ce-70b8-4798-8d6d-71079624491c,2026-08-29 12:45:07,2026-08-29 12:45:07
c79fc86a-b543-4605-adf6-4f106b3652ed,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,07a56223-2f51-4a32-9f3e-305cb6d056b3,2026-08-29 12:45:07,2026-08-29 12:45:07
0e17f638-0e62-4393-8637-f54ab07a2ea1,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,07eb0345-d380-44a5-9893-a14361aaa903,2026-08-29 12:45:07,2026-08-29 12:45:07
a97d514a-a0f9-41ee-a989-f4dff4cb6216,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:08,080b945a-a275-4240-bbe3-c6777619913f,2026-08-29 12:45:08,2026-08-29 12:45:08
341e1bde-982b-4d88-b518-fbbace5ea0e1,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:08,0864ebd6-2c3d-4450-af68-826f2a6f6a5d,2026-08-29 12:45:08,2026-08-29 12:45:08
5ddfc35f-f3ba-4dd6-bbdb-cd9d067ef097,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:08,0886f80f-0487-4e3f-8021-3032d9f2f999,2026-08-29 12:45:08,2026-08-29 12:45:08
887722ea-52c0-444d-933b-a977b2c41e04,,,Evidence Registered,Chikkaballapura Town,Evidence logged for case CR-2026-DET-018,2026-08-29 12:45:07,089e9f35-f864-48a2-a0c8-fd5e284238bf,2026-08-29 12:45:07,2026-08-29 12:45:07
fddff847-1da3-4720-b58b-92bd6843abaf,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,08d43361-7680-48f1-8756-e8e5e9aadb91,2026-08-29 12:45:07,2026-08-29 12:45:07
6f58fe3a-3fc1-4076-85ba-102132f82ce5,,,Analysis Completed,Forensic Lab,Forensic analysis complete — results filed with charge sheet,2026-08-29 12:45:07,08d91309-72c0-4bbe-8ab6-69f584fda0ef,2026-08-29 12:45:07,2026-08-29 12:45:07
6f58fe3a-3fc1-4076-85ba-102132f82ce5,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,09db2acc-5152-4348-ae99-7c668e53b176,2026-08-29 12:45:07,2026-08-29 12:45:07
dd17086f-cf6a-4391-a3a8-6e6d8b669d44,,,Analysis Completed,Forensic Lab,Forensic analysis complete — results filed with charge sheet,2026-08-29 12:45:07,0a17c779-f4aa-41f0-8bfd-7daade346d07,2026-08-29 12:45:07,2026-08-29 12:45:07
2c1de3eb-8d4b-4973-8708-ef54b1408c48,,,Evidence Registered,Mysuru-Mandya Highway,Evidence logged for case CR-2026-DET-134,2026-08-29 12:45:07,0a1cddb1-bcb0-418d-870f-803318b399fc,2026-08-29 12:45:07,2026-08-29 12:45:07
457fedff-dcfc-47e0-ae61-3135d2f7ef9c,,,Evidence Registered,Gadag Town Center,Evidence logged for case CR-2026-DET-094,2026-08-29 12:45:07,0a8191e6-ecac-489c-8905-466ec4bcfe39,2026-08-29 12:45:07,2026-08-29 12:45:07
fddff847-1da3-4720-b58b-92bd6843abaf,,,Evidence Registered,Yellapur Junction,Evidence logged for case CR-2026-DET-125,2026-08-29 12:45:07,0aa3c9b8-d6ed-4c75-868d-722e262f845c,2026-08-29 12:45:07,2026-08-29 12:45:07
761ecdc0-2321-4df9-adf2-7503ea126bf5,,,Evidence Registered,Tirthahalli Cross,Evidence logged for case CR-2026-DET-302,2026-08-29 12:45:08,0afc54c3-325f-439d-9dff-63249c80262d,2026-08-29 12:45:08,2026-08-29 12:45:08
015c8e9a-e741-458c-b171-7552817e50e2,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,0b0074a7-1e3d-4a60-b935-27be16776f11,2026-08-29 12:45:07,2026-08-29 12:45:07
c2fd2df6-6e97-4564-9dbf-71e53699ca7f,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:08,0b3a2235-3d04-43de-8740-ca33ba680499,2026-08-29 12:45:08,2026-08-29 12:45:08
f0b33b2b-8641-4e05-81b4-887be96fad6d,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:08,0b926cd9-999e-4c86-add3-fc92faa9c39c,2026-08-29 12:45:08,2026-08-29 12:45:08
0bdf6198-119f-4e80-b77a-bbbd0b5b9a97,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,0bdd81ce-3372-4465-834e-41fc3a602857,2026-08-29 12:45:07,2026-08-29 12:45:07
9145d756-6270-434e-aed1-672bf822c5a3,,,Evidence Registered,Yadagir Town Center,Evidence logged for case CR-2026-DET-037,2026-08-29 12:45:07,0d746582-f877-4a9e-a7c5-4c31a696e485,2026-08-29 12:45:07,2026-08-29 12:45:07
1fe5bced-6ac3-448d-a28f-b73dd59a48f2,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:08,0db8ad8e-b5c8-47ae-92b7-d59d18685b2d,2026-08-29 12:45:08,2026-08-29 12:45:08
4adc6930-1100-4400-816a-daa458856005,,,Evidence Registered,Surathkal Beach Road,Evidence logged for case CR-2026-MNG-004,2026-08-29 12:45:07,0deeac4a-4edb-4ad4-a389-edb3a48a13c7,2026-08-29 12:45:07,2026-08-29 12:45:07
bc422527-c134-4c3b-8913-6a3b4755feca,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,0e027721-8437-4d16-8e19-8e4206d2136e,2026-08-29 12:45:07,2026-08-29 12:45:07
0f5b243a-8060-4450-bdd1-ce56aa6c7609,,,Evidence Registered,Devanahalli Checkpost,Evidence logged for case CR-2026-BRL-001,2026-08-29 12:45:07,0e088257-0088-4c88-ae60-a2af837f03c5,2026-08-29 12:45:07,2026-08-29 12:45:07
10c761c6-79a9-4e3e-a74c-f40abb93f974,,,Evidence Registered,Bidar Fort Road,Evidence logged for case CR-2026-DET-063,2026-08-29 12:45:07,0f6e3141-17c1-4453-b61f-1014f781f7c8,2026-08-29 12:45:07,2026-08-29 12:45:07
9be9b10d-ef5b-4bb3-92da-90abe5b6a1a0,,,Evidence Registered,Channapatna Bus Stand,Evidence logged for case CR-2026-DET-069,2026-08-29 12:45:07,0faa7408-dae0-4dc2-8ce7-f98a33cc69ea,2026-08-29 12:45:07,2026-08-29 12:45:07
dcefa57e-e019-4c3b-a577-80f4072d146b,,,Evidence Registered,Ramanagara Town Center,Evidence logged for case CR-2026-RMN-001,2026-08-29 12:45:07,100712e7-8a1b-404d-9338-dd1e9dc662d2,2026-08-29 12:45:07,2026-08-29 12:45:07
5b53672a-c193-466a-b123-d118f2bcff11,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,1022a428-627e-44af-a176-12fab95b0f5a,2026-08-29 12:45:07,2026-08-29 12:45:07
c569224b-a6a9-47aa-a9d6-603f12245de7,,,Evidence Registered,Homnabad Cross,Evidence logged for case CR-2026-DET-009,2026-08-29 12:45:07,104ec618-b1ed-420f-95c7-0aaa6ddb9236,2026-08-29 12:45:07,2026-08-29 12:45:07
be753b8f-bc5d-47f3-b139-534cfabb96f3,,,Evidence Registered,HSR Layout Beat,Evidence logged for case CR-2026-DET-315,2026-08-29 12:45:08,10566b4a-8ad9-48e3-ad0b-92c10b3a9115,2026-08-29 12:45:08,2026-08-29 12:45:08
b8e3ef4b-3ade-43ba-9cc7-aa57feb0ebbf,,,Evidence Registered,Tiptur Market Area,Evidence logged for case CR-2026-DET-316,2026-08-29 12:45:08,1056bce6-8cac-49ac-b550-ad784434e6f6,2026-08-29 12:45:08,2026-08-29 12:45:08
ca3203f7-f4f1-42b9-922c-9bdeab9a2853,,,Evidence Registered,Gauribidanur Cross,Evidence logged for case CR-2026-DET-224,2026-08-29 12:45:08,1061dcb9-2f1b-421b-9ea0-1c682c623f02,2026-08-29 12:45:08,2026-08-29 12:45:08
0e733fc6-fefe-4c60-97fd-4cdc327d5d2b,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,1069bee7-2ff5-4a63-9660-91b1ae51d75f,2026-08-29 12:45:07,2026-08-29 12:45:07
a859b95c-0c2e-401e-84b9-94a55e6ff2c1,5120413d-57fd-47ad-9128-2a5b8dd553d8,5120413d-57fd-47ad-9128-2a5b8dd553d8,Evidence Registered,Devaraja Market Zone,Evidence logged for case CR-2026-DET-113,2026-08-29 12:45:07,10765dca-cc9f-4e1d-8a39-0c4371adad1e,2026-08-29 12:45:07,2026-08-29 12:45:07
cd7274d4-c9d8-4e1d-abc4-511adf7269f4,,,Analysis Completed,Forensic Lab,Forensic analysis complete — results filed with charge sheet,2026-08-29 12:45:07,11378f00-7190-4007-9769-766a6cc66ab4,2026-08-29 12:45:07,2026-08-29 12:45:07
1f171d14-bf88-4009-86f6-4b6be19f8200,,,Evidence Registered,Ballari Mines Sector B,Evidence logged for case CR-2026-DET-031,2026-08-29 12:45:07,119e2383-ce5e-4f5a-891c-f66717187086,2026-08-29 12:45:07,2026-08-29 12:45:07
633c02e3-7713-49a5-a83a-cca81eaf0693,,,Evidence Registered,Bangarapet Station Road,Evidence logged for case CR-2026-DET-040,2026-08-29 12:45:07,121245bc-9974-4373-b484-8c0fa346a883,2026-08-29 12:45:07,2026-08-29 12:45:07
dd17086f-cf6a-4391-a3a8-6e6d8b669d44,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,121d9ffb-fc13-4173-9d67-e4e92e8489b9,2026-08-29 12:45:07,2026-08-29 12:45:07
1e9c3522-d5c4-4909-a78c-7da1a8a6f5bd,,,Evidence Registered,Chitradurga Fort Area,Evidence logged for case CR-2026-CTD-001,2026-08-29 12:45:07,12b3ca9b-2337-4330-adff-feaf11240655,2026-08-29 12:45:07,2026-08-29 12:45:07
9145d756-6270-434e-aed1-672bf822c5a3,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,12ebe8f9-93a2-41af-9d6b-b0bab527d6ff,2026-08-29 12:45:07,2026-08-29 12:45:07
8a7d2eea-6580-4cc3-9f9d-bba0b69b003f,,,Analysis Completed,Forensic Lab,Forensic analysis complete — results filed with charge sheet,2026-08-29 12:45:07,130ce27f-8d61-4221-b574-3df292a756b8,2026-08-29 12:45:07,2026-08-29 12:45:07
222d6737-fb88-436b-a288-6090056a4d05,,,Evidence Registered,Surathkal Beach Road,Evidence logged for case CR-2026-DET-180,2026-08-29 12:45:08,13b19850-3730-42c0-b9e5-b85325edf9b5,2026-08-29 12:45:08,2026-08-29 12:45:08
4b8082c9-eac2-48bb-a207-1606a047de11,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:08,1480241a-8399-483a-8841-f88f9c00162b,2026-08-29 12:45:08,2026-08-29 12:45:08
abceb0dd-cd0d-4a1d-967e-f014950aeb87,,,Evidence Registered,Harpanahalli Junction,Evidence logged for case CR-2026-DET-254,2026-08-29 12:45:08,14999806-579d-48b3-a3de-034972190cc5,2026-08-29 12:45:08,2026-08-29 12:45:08
cbc08f90-24c1-4d86-bcfb-069fa3e554d2,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,1553265f-272a-422c-b63d-feccfdcf584f,2026-08-29 12:45:07,2026-08-29 12:45:07
ca213bdd-c7dd-4b86-a9ee-2faedd386dfe,,,Evidence Registered,Chitradurga Fort Area,Evidence logged for case CR-2026-DET-110,2026-08-29 12:45:07,155a49a5-c00b-4507-904a-4cd90dc663b2,2026-08-29 12:45:07,2026-08-29 12:45:07
c2fe672d-bd3f-44f7-98bb-eedf4d671352,,,Evidence Registered,Bangarapet Station Road,Evidence logged for case CR-2026-DET-128,2026-08-29 12:45:07,15ac972a-9adc-4636-aa84-841470a86dd7,2026-08-29 12:45:07,2026-08-29 12:45:07
2b61b413-2b86-47da-a4cd-5472c51a74a1,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,15bd48a5-51e1-4e8d-9e16-004a4fee1a4b,2026-08-29 12:45:07,2026-08-29 12:45:07
2f499eee-688b-4857-86cc-8dcca2143d96,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,15f14486-41c1-4d30-aab3-c0853ffb95d1,2026-08-29 12:45:07,2026-08-29 12:45:07
88152dd7-f501-4e7a-b613-15556c65179f,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,15f819d8-f09e-46a5-a44b-b1cbb7b7fe12,2026-08-29 12:45:07,2026-08-29 12:45:07
d6dd9f23-dd2a-4354-b5ee-df64b45977b6,,,Evidence Registered,Harpanahalli Junction,Evidence logged for case CR-2026-DET-250,2026-08-29 12:45:08,16916066-ffac-47dd-bda7-5da379d9adaf,2026-08-29 12:45:08,2026-08-29 12:45:08
06de826c-4dac-4bf7-aa39-ea4c3cdc5be4,,,Evidence Registered,Yadagir Town Center,Evidence logged for case CR-2026-DET-152,2026-08-29 12:45:08,173d0ef9-01f6-489c-b43c-be3dd7bb386b,2026-08-29 12:45:08,2026-08-29 12:45:08
25da8d47-d772-4736-8d39-a0623e2ee20f,,,Evidence Registered,Haveri Bus Stand Area,Evidence logged for case CR-2026-DET-186,2026-08-29 12:45:08,1768d8dd-c109-4010-8db9-bfab409a07e6,2026-08-29 12:45:08,2026-08-29 12:45:08
2f499eee-688b-4857-86cc-8dcca2143d96,,,Evidence Registered,Bellary-Hospet Road,Evidence logged for case CR-2026-DET-039,2026-08-29 12:45:07,177c6977-f6be-483e-8330-fb246afdc11a,2026-08-29 12:45:07,2026-08-29 12:45:07
0737b2d2-f63a-4711-87be-87d0c70568e6,,,Evidence Registered,Madikeri Town Center,Evidence logged for case CR-2026-DET-122,2026-08-29 12:45:07,1807a8c1-fa16-45a4-86d5-d075822b8249,2026-08-29 12:45:07,2026-08-29 12:45:07
006c2124-693f-4864-98f8-acf1cec88486,,,Evidence Registered,Tumkuru Industrial Road,Evidence logged for case CR-2026-DET-299,2026-08-29 12:45:08,182100ed-21e3-49eb-826a-df00930a1dce,2026-08-29 12:45:08,2026-08-29 12:45:08
64872efb-a8f1-40f1-80ff-cd5b2948e9b5,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:08,183a5f87-19a1-421b-b361-4047bac67e21,2026-08-29 12:45:08,2026-08-29 12:45:08
cb17edee-0801-4443-8a84-d3c9037b7b50,,,Evidence Registered,Chikkamagaluru Town,Evidence logged for case CR-2026-CMG-001,2026-08-29 12:45:07,18d67040-cb9e-4d77-858e-08c0cd8e6a2e,2026-08-29 12:45:07,2026-08-29 12:45:07
b77054e7-591f-4827-a6ef-e92719cb55f2,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:08,19a08b59-f9fa-47d9-9b51-a3a98c1b78b0,2026-08-29 12:45:08,2026-08-29 12:45:08
0377d597-c3ad-4f6a-965a-11c7cae3362e,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:08,19e68b52-a057-4858-8fc1-015be1b2eba9,2026-08-29 12:45:08,2026-08-29 12:45:08
424b5f98-5232-464f-ab4d-53c394f778a7,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,1ab5e056-5234-4a4c-a8d7-16e8de1d3f8f,2026-08-29 12:45:07,2026-08-29 12:45:07
a7742ff0-039b-41d9-b7f0-50eed27fd9e9,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,1b215866-f30a-42db-ab8d-aed1ae3c9884,2026-08-29 12:45:07,2026-08-29 12:45:07
d46f495d-b3a5-4fab-8f12-252e415ff0a2,,,Evidence Registered,Tilakwadi Beat,Evidence logged for case CR-2026-BLG-003,2026-08-29 12:45:07,1b7aa138-b628-490c-abd8-72607b998814,2026-08-29 12:45:07,2026-08-29 12:45:07
6ec28c27-b52e-4a6d-8ac5-64fd96ec440c,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:08,1c0e16f1-3cfa-43e0-84a2-a8f0152e60a1,2026-08-29 12:45:08,2026-08-29 12:45:08
6d312e11-5fd5-4a7d-9496-07294802ec23,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,1ca9e549-d48c-4a6b-9555-fa05c8ca3664,2026-08-29 12:45:07,2026-08-29 12:45:07
198464e9-cfae-49f7-a0bc-15bd26316e45,,,Evidence Registered,Yellapur Junction,Evidence logged for case CR-2026-DET-013,2026-08-29 12:45:07,1cc26371-9f60-46f4-82df-5a96a4efbaf4,2026-08-29 12:45:07,2026-08-29 12:45:07
6f58fe3a-3fc1-4076-85ba-102132f82ce5,,,Evidence Registered,Chowk Survey Layout,Evidence logged for case CR-2026-KLB-001,2026-08-29 12:45:07,1cf51993-9e6c-4748-b772-ccbd3c741cbb,2026-08-29 12:45:07,2026-08-29 12:45:07
5ede10fa-8aab-485b-a620-5b1569f858d9,,,Evidence Registered,HSR Layout Beat,Evidence logged for case CR-2026-DET-231,2026-08-29 12:45:08,1d23e190-db7a-40f3-a322-c77b16508ffd,2026-08-29 12:45:08,2026-08-29 12:45:08
6210f391-52ef-4e31-987e-f01406203716,,,Evidence Registered,Kapu Beach Junction,Evidence logged for case CR-2026-DET-029,2026-08-29 12:45:07,1d6d4b35-2289-468e-b0eb-b460939bfadc,2026-08-29 12:45:07,2026-08-29 12:45:07
74e2feb0-a648-4cb2-b0de-40d3209e63a3,,,Analysis Completed,Forensic Lab,Forensic analysis complete — results filed with charge sheet,2026-08-29 12:45:07,1da466d3-b50a-4c19-abb8-92c80a1b8043,2026-08-29 12:45:07,2026-08-29 12:45:07
dc021a5e-741c-445c-a57c-e9d08ff2aef9,,,Evidence Registered,Sagara Main Road,Evidence logged for case CR-2026-SHG-002,2026-08-29 12:45:07,1da93278-bdcc-4d91-b2f1-401cf6f4002e,2026-08-29 12:45:07,2026-08-29 12:45:07
6b93d8db-f8d1-4b4b-8144-a7d42db83ddb,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:08,1e10b849-dddd-4f8d-9761-04f36133d37d,2026-08-29 12:45:08,2026-08-29 12:45:08
07f2aed0-e2b5-413b-8350-bad43cde8174,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:08,1e912809-d328-4b89-9fe9-3d5d0f0c1afb,2026-08-29 12:45:08,2026-08-29 12:45:08
2ce7f237-4390-409e-b15e-26bb20f27158,,,Evidence Registered,Tumkuru Industrial Road,Evidence logged for case CR-2026-DET-232,2026-08-29 12:45:08,1f06a34f-930e-474e-b980-86d73952b5e1,2026-08-29 12:45:08,2026-08-29 12:45:08
271ff166-6b49-408c-bb35-a69f3003753a,,,Evidence Registered,Puttur Town Center,Evidence logged for case CR-2026-DET-203,2026-08-29 12:45:08,1f4038d7-8972-4d72-bdff-2e1923ea752d,2026-08-29 12:45:08,2026-08-29 12:45:08
5c82878a-430a-4c07-aace-87a01f99bde8,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,1f5fc575-f58d-4b66-9d04-56598adb1e0f,2026-08-29 12:45:07,2026-08-29 12:45:07
1c64b050-b551-4be1-840f-4ffd541ad2e6,,,Evidence Registered,Yadagir Town Center,Evidence logged for case CR-2026-YDG-001,2026-08-29 12:45:07,1fdf2690-e47c-47d0-bad2-7718b93ffdef,2026-08-29 12:45:07,2026-08-29 12:45:07
39268784-f9ec-4bf9-be1a-e44e952130f9,,,Evidence Registered,Gulbarga University Road,Evidence logged for case CR-2026-DET-233,2026-08-29 12:45:08,1ff0cfd6-5b92-4828-9596-3854a039341c,2026-08-29 12:45:08,2026-08-29 12:45:08
49e44f63-c569-44aa-80ff-15aedf35ef7c,,,Evidence Registered,Yadagir Town Center,Evidence logged for case CR-2026-DET-264,2026-08-29 12:45:08,200ac1a6-5e83-4817-b489-d2a8f4339d04,2026-08-29 12:45:08,2026-08-29 12:45:08
88c30633-be71-4ea8-870d-95dd8a449b9b,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,20a668b7-20d3-4334-a8a1-0c9d997d4159,2026-08-29 12:45:07,2026-08-29 12:45:07
a97d514a-a0f9-41ee-a989-f4dff4cb6216,,,Evidence Registered,HSR Layout Beat,Evidence logged for case CR-2026-DET-296,2026-08-29 12:45:08,214a1700-acd9-4fdc-9ba6-60fd1a307a1c,2026-08-29 12:45:08,2026-08-29 12:45:08
61ccbfbf-3c62-428a-af4e-a8cb310fb8af,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:08,21582508-af70-4bfd-a299-f2e3e28b32ba,2026-08-29 12:45:08,2026-08-29 12:45:08
fd444b6c-43bf-4da2-8fde-039b9fa53e7d,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:08,21d33409-cc2c-462f-993e-af2636b3dfae,2026-08-29 12:45:08,2026-08-29 12:45:08
c0458ec7-0a24-4340-b369-7d1f83ff9ada,,,Evidence Registered,Chamarajanagar Town,Evidence logged for case CR-2026-DET-297,2026-08-29 12:45:08,2213ca47-832f-48b3-9195-fa93118dd0d1,2026-08-29 12:45:08,2026-08-29 12:45:08
03fcc88d-4ac5-4940-ae3c-e0098205ba13,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,22db384c-1fe0-40c4-9760-868a79df9e0f,2026-08-29 12:45:07,2026-08-29 12:45:07
f41e76b5-07cf-4199-bcbf-3e43124a9c8a,,,Forensic Analysis Initiated,Forensic Lab,Evidence submitted for forensic examination,2026-08-29 12:45:07,22f4c88b-638c-4598-92b9-130b59007a57,2026-08-29 12:45:07,2026-08-29 12:45:07
56bc6e27-06e1-43d9-bd96-24e09bf08e07,5120413d-57fd-47ad-9128-2a5b8dd553d8,5120413d-57fd-47ad-9128-2a5b8dd553d8,Evidence Registered,Nazar Mohalla Beat,Evidence logged for case CR-2026-DET-212,2026-08-29 12:45:08,2344171f-5291-4dc2-bc02-42b8bb922dd4,2026-08-29 12:45:08,2026-08-29 12:45:08
