criminal_id,mo_tag_id
4225fe2b-47a4-4e83-8203-571a0c8e1a68,7baf62c4-1875-464b-a6ca-380108b4ff35
4b9a1bd0-3232-4345-846f-d504197f8732,78db0fd8-37e9-4fc1-800b-f26221f21008
4ea921f4-e436-47ef-b9fc-08d469138a6d,f0a54fbc-4335-4cae-b10b-5ba22c8ce952
5161e6b2-e2c1-4b25-aea0-49c2674359ef,e6f06d91-c8fd-491d-9a5d-7a49aec7e2cd
548087de-3a62-4bae-a367-ad39b7ac41d0,93e369d3-8159-45c3-9aa6-334af0502250
58239812-e3cc-4698-a09e-f1704f75854a,e6f06d91-c8fd-491d-9a5d-7a49aec7e2cd
60e3f69c-d5de-4ac7-8ef1-2d320fe749da,a53f1657-4531-4072-848d-96781637c6e8
64b8434d-dd78-4775-9224-b4d1cdc73732,b4f98f25-35e1-4c6c-a424-f37b404a8c4a
65ffec8e-40a4-4720-99be-dc3cfc926e4d,a8ccae1a-9c4b-415b-8256-cc8889bde57b
65ffec8e-40a4-4720-99be-dc3cfc926e4d,e6f06d91-c8fd-491d-9a5d-7a49aec7e2cd
714dba62-7666-4852-a5b0-60c7209e4c71,a8ccae1a-9c4b-415b-8256-cc8889bde57b
72b203cc-1aef-4aa5-afa5-98830c486d26,22899b3a-873f-4c96-b326-a3164026da0e
72b203cc-1aef-4aa5-afa5-98830c486d26,ef09c4d8-08b7-44bc-b6d7-a0c1cec73111
738847ff-a086-4b42-a272-b89e0a0d3f3e,f5a847e7-868a-47b8-b553-aecbae1e4787
750ba888-4440-4c9a-b1b2-9caafbd5b106,78db0fd8-37e9-4fc1-800b-f26221f21008
7b633f2f-e215-46d6-8552-25eb067bc8e3,a8ccae1a-9c4b-415b-8256-cc8889bde57b
7ce121c6-0b93-4393-b78e-e04c743c151b,f228a057-e3fd-492e-b7c8-6863cfa5217c
89c54b69-d065-42da-9669-f90f08bb0786,78db0fd8-37e9-4fc1-800b-f26221f21008
89c54b69-d065-42da-9669-f90f08bb0786,a023cd3c-63d0-49cb-bd1b-1af5252d8d34
8a375fae-6940-41ee-bed7-b1907e6fe26e,442acc96-8bd5-4008-9935-7ddf59a61f90
8a6e7a7a-aa95-4516-a062-d58308c32f11,7f7afe05-4499-42e8-90f9-da026a95fd79
8ce737e6-59b1-4270-85ab-620dc0b22d8f,38b0a4bd-67ee-48e8-8db9-067e7c1667bb
abaf5d81-510e-4938-bdaa-bc63588a1723,22899b3a-873f-4c96-b326-a3164026da0e
abaf5d81-510e-4938-bdaa-bc63588a1723,f5a7403b-bb8d-460b-8d3b-b673d8e3bf71
bdb595ca-f4c0-4190-ac69-57695a571d53,5b156a4b-16f1-4f49-90e6-051fce80de3f
bdb595ca-f4c0-4190-ac69-57695a571d53,93e369d3-8159-45c3-9aa6-334af0502250
bdb6d588-71f9-4e5a-9059-9aeb7858ab14,40e882c1-782c-4149-8cf7-aa975b6c01d7
c05c81b2-c782-455e-be3f-8ac22ed75c9c,f2f4d531-46dd-40f0-a536-dde36529164d
c40419c7-a5fd-4a9e-9f29-c4d17faa33f7,887a5ef2-85af-4c9c-bd2c-7152ce0f3e17
cfe3055a-c9dc-4cbe-8a5d-d0c7455af61d,22899b3a-873f-4c96-b326-a3164026da0e
cfe3055a-c9dc-4cbe-8a5d-d0c7455af61d,e6f06d91-c8fd-491d-9a5d-7a49aec7e2cd
d14f9acf-5a19-4643-915c-5f230172f78e,1b392cad-3abc-4776-bbb1-78a99b886b29
d319ae7d-fae7-449e-a3bf-44d2212c2193,a81986cf-4bf5-4c05-84c2-5e2e1e2c6227
e23a92a9-c684-4a2a-8196-0d0a0dcadd22,c2f06bac-476f-4cf1-b053-75ed0bb02c9b
e29cf33d-3671-4939-bd02-dcd9bc375f60,a53f1657-4531-4072-848d-96781637c6e8
e412d489-ce18-4280-a918-1d1732688bf0,78db0fd8-37e9-4fc1-800b-f26221f21008
e66bdb42-023a-48ca-a5f5-0a7a7abfc4c1,7090908e-407a-4aee-b6a1-9d0098d6dbaa
ed8f808f-e666-4a73-9062-1f8f757442f1,3bf74671-afe8-42b7-b2da-367f661d8e6f
fab81283-e4da-49e6-80f8-8f5d03273121,01388b46-1053-42b1-a796-fa005f077ab9
fc22e458-db85-47dd-8304-d6a9d88c74b2,046fd56d-5c13-4484-8748-6c89f4c558ec
fea975d0-6440-4fd0-991c-b824df0f6fab,f5a7403b-bb8d-460b-8d3b-b673d8e3bf71
