case_number,category_id,location_id,occurred_at,reported_at,description,mo_tags,status,priority,progress,assigned_officer_id,dataset_provenance,source_import_job_id,source_file,source_row_ref,id,created_at,updated_at
CR-2026-DET-234,b832740f-0285-496a-8ae7-c0ba3fce708b,5746881f-84f3-4219-92fb-0ed29d4d8936,2025-12-10 20:40:00,2025-12-10 21:50:00,"Narcotics Smuggling Services reported at Mysuru-Mandya Highway, Mandya","temple crowd chain snatching, getaway bike, gold targeting",closed,high,100,f36f5a0e-c026-4c91-9ec4-02b25920283e,demo,,,,089f7fc5-9ba1-4b43-8acd-a709c319111d,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-208,9fe65fd9-5b8c-4ac3-9804-84fbe22d9b1f,0b55e0d6-42ee-4a1f-9bc0-435f5210decf,2025-09-23 23:55:00,2025-09-24 04:00:00,"Smuggling & Excise Violations reported at Tiptur Market Area, Tumkuru","highway cargo truck hijacking, driver assault, remote warehouse offload",investigating,critical,45,32ef8189-db8a-47c3-b687-3bf34a097b2b,demo,,,,08c84fa9-c88a-4d2c-9977-d9bf1bfed258,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-246,1b770b27-4234-44c6-836f-811c4b1b0dca,79a998be-1c0c-4399-9e2d-af98b8223fd6,2026-01-16 00:35:00,2026-01-16 04:40:00,"Illegal Mining Violations reported at Bidar Fort Road, Bidar","night operation, vehicle reconnaissance",closed,high,100,2fd383db-cd0b-4cca-9161-74533c0a3647,demo,,,,09206f14-67b1-45df-a004-f505cc4df7cd,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-RCR-001,b832740f-0285-496a-8ae7-c0ba3fce708b,135c6677-bd43-49e4-a2e3-7cff53d3bbd2,2026-08-14 23:15:00,2026-08-15 03:15:00,"Narcotics Smuggling Services reported at Raichur Town Center, Raichur",cross-border cannabis smuggling via train,open,critical,20,4c15aede-a2ad-4322-bb3e-1264d9593b53,demo,,,,0980717a-92ad-4653-baa9-303a0348e076,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-133,537eee7f-7c4d-415e-b9be-792c02658f23,2080054b-41b4-46be-898f-9dc406809e4e,2025-02-12 14:00:00,2025-02-12 15:30:00,"Property Disputes reported at Yadgir Road Junction, Raichur","crowbar lock bypass, modified vehicle plates, vehicle reconnaissance",closed,low,100,4c15aede-a2ad-4322-bb3e-1264d9593b53,demo,,,,09e63973-add2-4269-b2b6-2e107969cbaf,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-279,1b770b27-4234-44c6-836f-811c4b1b0dca,f07ae8af-ace2-4c71-a2dc-af921c23b8c5,2026-04-24 04:25:00,2026-04-24 07:20:00,"Illegal Mining Violations reported at Surathkal Beach Road, Dakshina Kannada","scooter reconnaissance, crowbar entry, night operation, cash targeting",closed,high,100,83c263dd-8664-438d-8f3e-f73f66c623f9,demo,,,,09fe6c49-e47a-4e73-9929-ed7c9520a38b,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-247,537eee7f-7c4d-415e-b9be-792c02658f23,1886a491-3bc5-4de7-aeb6-2350e5a560d0,2026-01-20 08:00:00,2026-01-20 09:00:00,"Property Disputes reported at Hospet Town Center, Vijayanagara","vehicle reconnaissance, cash-only transactions",open,high,17,219a87ba-850b-48e5-8a33-2151a3337db0,demo,,,,0a1287b2-4b8e-478a-adce-bdd80ad30777,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-260,53249216-9af1-450e-b498-547d83a6ba26,271adc05-a0ac-410d-be2b-33fba2ee0a3e,2026-02-25 15:15:00,2026-02-25 20:00:00,"Assault reported at KR Puram Transit Corridor, Bengaluru Urban","crowbar lock bypass, vehicle reconnaissance",investigating,medium,57,643e99ee-2480-49cb-b1b0-23ff69b53493,demo,,,,0a808b82-d793-480f-b201-370a197b6f01,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-109,019ae936-623e-4279-8981-d5b369e400f3,dc4b7077-3bfc-44e2-91fc-ac9c2ed3bf06,2024-11-29 22:10:00,2024-11-30 02:00:00,"Domestic Violence reported at Ranebennur Cross, Haveri","land document forgery, witness intimidation, fake power of attorney",open,critical,45,c64ed64b-cdd0-4f79-9a2a-f2df9ce61320,demo,,,,0ab05469-c5ce-46d6-b804-e45ab1c10ac8,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-009,53249216-9af1-450e-b498-547d83a6ba26,af5fa199-cce9-4618-b574-e182e434dd6f,2024-02-06 08:40:00,2024-02-06 10:20:00,"Assault reported at Homnabad Cross, Bidar","interstate transit, concealed false compartment, synthetic MDMA, dead drop",open,critical,40,2fd383db-cd0b-4cca-9161-74533c0a3647,demo,,,,0bfac0ed-4420-4578-9171-cfb3a6807d73,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-024,e8dd85a6-421f-452c-811a-c3bed4e9a18b,4e91e45a-2b03-406d-808b-cf92fa79f91d,2024-03-23 22:35:00,2024-03-24 03:05:00,"Theft & Burglaries reported at Bangarapet Station Road, Kolar","forest boundary timber smuggling, midnight log transport",investigating,low,76,314c456a-4c37-43b1-99a0-4b6239463b6f,demo,,,,0d2222e9-9dc7-4723-b6af-1cd72129586b,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-087,537eee7f-7c4d-415e-b9be-792c02658f23,5746881f-84f3-4219-92fb-0ed29d4d8936,2024-09-26 15:35:00,2024-09-26 19:40:00,"Property Disputes reported at Mysuru-Mandya Highway, Mandya","temple crowd chain snatching, getaway bike, gold targeting",open,high,35,f36f5a0e-c026-4c91-9ec4-02b25920283e,demo,,,,0e366b40-5de8-4aa8-89ab-739df17e3b28,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-296,1b770b27-4234-44c6-836f-811c4b1b0dca,595f8b31-6c92-4d7b-868e-311497cbda34,2026-06-14 01:40:00,2026-06-14 03:00:00,"Illegal Mining Violations reported at HSR Layout Beat, Bengaluru Urban","night riverbed extraction, forged transit permit, heavy excavator used",investigating,low,56,643e99ee-2480-49cb-b1b0-23ff69b53493,demo,,,,0e593d17-5cb1-4101-b4ee-aa44efb46844,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-198,7da8b3f7-e772-4580-b901-3beb7e65454c,03b9d756-8425-4ffb-b5a2-04eb70a3d54d,2025-08-26 13:45:00,2025-08-26 16:30:00,"Cyber Crime & Online Fraud reported at Channapatna Bus Stand, Ramanagara","interstate transit, concealed false compartment, synthetic MDMA, dead drop",investigating,critical,78,5121147d-f1ba-4bf4-9391-f5b7bb9124fb,demo,,,,0f3c325e-9ef4-4d82-afe4-16918e066317,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-BNG-002,7da8b3f7-e772-4580-b901-3beb7e65454c,271adc05-a0ac-410d-be2b-33fba2ee0a3e,2026-08-21 16:30:00,2026-08-21 19:40:00,"Cyber Crime & Online Fraud reported at KR Puram Transit Corridor, Bengaluru Urban","wallet mule routing, call spoofing",open,medium,25,643e99ee-2480-49cb-b1b0-23ff69b53493,demo,,,,104d2caa-241c-4d84-8754-de7b375d6f8e,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-149,b832740f-0285-496a-8ae7-c0ba3fce708b,4e91e45a-2b03-406d-808b-cf92fa79f91d,2025-04-01 23:35:00,2025-04-02 04:05:00,"Narcotics Smuggling Services reported at Bangarapet Station Road, Kolar","crypto mule routing, fake KYC, call spoofing, high-yield investment scam",unsolved,high,13,314c456a-4c37-43b1-99a0-4b6239463b6f,demo,,,,11b2fd3f-02c4-4877-8297-aeecf94990af,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-120,019ae936-623e-4279-8981-d5b369e400f3,9fcb383c-3e94-43ff-a9da-349c924f7167,2025-01-05 19:15:00,2025-01-06 00:00:00,"Domestic Violence reported at Bellary-Hospet Road, Vijayanagara","fake customer care portal, OTP interception, remote access app",closed,high,100,219a87ba-850b-48e5-8a33-2151a3337db0,demo,,,,127f47f2-650f-46c0-b531-4f9d2695d0d5,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-054,7da8b3f7-e772-4580-b901-3beb7e65454c,aee07501-43c6-40b9-8cad-266365912cc2,2024-06-21 17:05:00,2024-06-21 19:45:00,"Cyber Crime & Online Fraud reported at Chamarajanagar Town, Chamarajanagar","highway cargo truck hijacking, driver assault, remote warehouse offload",closed,high,100,a42d03ad-0de6-4b92-96ef-5ab3f60aff1e,demo,,,,13261cc4-fc9d-49c1-b2a8-5d7c09aa3c00,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-320,019ae936-623e-4279-8981-d5b369e400f3,8ceccb58-8b23-43f4-8675-a91354ac86bf,2026-08-27 18:50:00,2026-08-27 21:55:00,"Domestic Violence reported at Kadur Junction, Chikkamagaluru",cash-only transactions,investigating,high,70,ca5236a4-32f9-4a78-8e38-29bb36d03874,demo,,,,133f4980-ae05-4f12-bdee-6006d0984ab5,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-282,9fe65fd9-5b8c-4ac3-9804-84fbe22d9b1f,8cc97cfd-82fe-492f-b5e9-b66d17ce4a58,2026-05-05 20:00:00,2026-05-05 21:30:00,"Smuggling & Excise Violations reported at Hiriyur Junction, Chitradurga","forest boundary timber smuggling, midnight log transport",unsolved,critical,55,cf8c9086-2c1f-460b-86ae-70194c545cf9,demo,,,,14e88047-1331-46de-9b4b-c47f45d0204b,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-103,53249216-9af1-450e-b498-547d83a6ba26,1886a491-3bc5-4de7-aeb6-2350e5a560d0,2024-11-11 11:45:00,2024-11-11 14:15:00,"Assault reported at Hospet Town Center, Vijayanagara",modified vehicle plates,closed,high,100,219a87ba-850b-48e5-8a33-2151a3337db0,demo,,,,15c96b81-475b-449b-8436-a108d8fe4f18,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-RMN-001,e8dd85a6-421f-452c-811a-c3bed4e9a18b,088c09b4-a045-45b9-80b7-a9c61158ce49,2026-08-13 02:55:00,2026-08-13 07:25:00,"Theft & Burglaries reported at Ramanagara Town Center, Ramanagara",highway cargo truck hijacking,investigating,critical,30,5121147d-f1ba-4bf4-9391-f5b7bb9124fb,demo,,,,16a90dc1-c0a2-4ffa-b3cb-5d4b90dd981f,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-069,b832740f-0285-496a-8ae7-c0ba3fce708b,03b9d756-8425-4ffb-b5a2-04eb70a3d54d,2024-08-04 23:55:00,2024-08-05 04:35:00,"Narcotics Smuggling Services reported at Channapatna Bus Stand, Ramanagara","vehicle reconnaissance, warehouse hideout used",unsolved,medium,19,5121147d-f1ba-4bf4-9391-f5b7bb9124fb,demo,,,,16d8edb3-884a-446a-b0d5-938675ebf9a3,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-197,b832740f-0285-496a-8ae7-c0ba3fce708b,d4a7d6da-b132-4b42-a3fd-2a3d537a912f,2025-08-20 00:20:00,2025-08-20 01:55:00,"Narcotics Smuggling Services reported at Harpanahalli Junction, Davanagere",crowbar lock bypass,open,medium,18,c31cd5b1-71b1-4e9d-a06b-9fadde8f9e6f,demo,,,,170c323e-97cf-49dc-85bf-26d2f6692e70,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-UKN-002,b832740f-0285-496a-8ae7-c0ba3fce708b,f28f2835-1a22-40c8-8155-aa4de5555767,2026-08-09 02:30:00,2026-08-09 05:30:00,"Narcotics Smuggling Services reported at Sirsi Town Center, Uttara Kannada",ganja cultivation in forest fringe area,open,critical,15,8e38105b-15a3-48cb-8fe4-88a34542ccfa,demo,,,,17d7c3cb-7fcf-49d5-94e3-c4def941e570,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-235,b832740f-0285-496a-8ae7-c0ba3fce708b,cc8f38c8-f592-4a9b-826d-f047fb83c593,2025-12-16 22:30:00,2025-12-17 01:40:00,"Narcotics Smuggling Services reported at Virajpet Cross Road, Kodagu","fake customer care portal, OTP interception, remote access app",appealed,medium,75,e44eac9d-cdbe-4431-b175-c6dd48feca28,demo,,,,17e086cc-2142-4352-a52f-d9e06461e386,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-RCR-002,537eee7f-7c4d-415e-b9be-792c02658f23,2080054b-41b4-46be-898f-9dc406809e4e,2026-08-04 13:15:00,2026-08-04 18:05:00,"Property Disputes reported at Yadgir Road Junction, Raichur",temple land encroachment by builder,investigating,medium,40,4c15aede-a2ad-4322-bb3e-1264d9593b53,demo,,,,18588e5e-9a47-4026-9420-d42729daad8a,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-086,537eee7f-7c4d-415e-b9be-792c02658f23,b3cbd8d6-4a2b-412c-aa14-22d9f749ee8f,2024-09-23 21:45:00,2024-09-24 00:30:00,"Property Disputes reported at Gauribidanur Cross, Chikkaballapura","darknet forum coordination, modified vehicle plates",appealed,low,69,bf35b187-ebe7-4b59-8410-4293f883621a,demo,,,,1a23043e-157a-47ac-b591-1acbfb762a9a,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-275,019ae936-623e-4279-8981-d5b369e400f3,cc8f38c8-f592-4a9b-826d-f047fb83c593,2026-04-14 22:00:00,2026-04-14 23:50:00,"Domestic Violence reported at Virajpet Cross Road, Kodagu","crypto mule routing, fake KYC, call spoofing, high-yield investment scam",appealed,critical,20,e44eac9d-cdbe-4431-b175-c6dd48feca28,demo,,,,1a850195-143c-47c9-8c15-9d2f9cc82634,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-147,9fe65fd9-5b8c-4ac3-9804-84fbe22d9b1f,3388760d-ac61-45c4-bb24-2bca38f6d13e,2025-03-24 01:05:00,2025-03-24 03:05:00,"Smuggling & Excise Violations reported at Arsikere Town Road, Hassan","vehicle reconnaissance, cash-only transactions",appealed,high,35,d90df2b2-c392-4aed-8af3-1024b8d7e0a0,demo,,,,1be27dd3-49d6-4b52-a916-64be6aebe9df,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-BNG-001,7da8b3f7-e772-4580-b901-3beb7e65454c,0b019361-8ffd-49d7-b619-c58ae2b3a90f,2026-08-26 16:45:00,2026-08-26 19:00:00,"Cyber Crime & Online Fraud reported at Whitefield Cyber Cell Beat, Bengaluru Urban","forged biometric login, micro-lending extortion",open,high,45,643e99ee-2480-49cb-b1b0-23ff69b53493,demo,,,,1c33147e-6d08-4391-8adb-c69d2872d473,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-288,b832740f-0285-496a-8ae7-c0ba3fce708b,0201b9e3-394f-47ca-8471-2c0dd1078fb0,2026-05-21 21:45:00,2026-05-21 23:50:00,"Narcotics Smuggling Services reported at Nazar Mohalla Beat, Mysuru",darknet forum coordination,appealed,low,40,6d399214-9acb-4a0b-98c8-ae0b2a17b775,demo,,,,1dfff8f2-2250-4cce-a299-1c329c604937,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-136,b832740f-0285-496a-8ae7-c0ba3fce708b,3d6a60ba-8f85-4f78-8477-37b0aca20425,2025-02-19 20:40:00,2025-02-19 22:25:00,"Narcotics Smuggling Services reported at Jamakhandi Station Road, Bagalkote","crowbar lock bypass, night operation, modified vehicle plates",closed,medium,100,b9af6e21-ff39-4174-bce7-d4fcdcfc9a9d,demo,,,,1f0a7559-da64-478f-a2a3-8c2a38ce84d9,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-BLG-003,7da8b3f7-e772-4580-b901-3beb7e65454c,a90cc06e-9010-4775-a321-a35cd380281d,2026-08-22 12:25:00,2026-08-22 15:10:00,"Cyber Crime & Online Fraud reported at Tilakwadi Beat, Belagavi",fake banking portal phishing,open,high,15,31d37711-b1aa-44be-b8fd-c1a4355577d9,demo,,,,1f6e726b-7f62-41fa-bfb1-6d5389b9dab6,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-119,7da8b3f7-e772-4580-b901-3beb7e65454c,a78860ab-f799-443b-8a88-1698ef2a4c5c,2024-12-31 11:05:00,2024-12-31 13:40:00,"Cyber Crime & Online Fraud reported at Gundlupet Junction, Chamarajanagar",darknet forum coordination,closed,low,100,a42d03ad-0de6-4b92-96ef-5ab3f60aff1e,demo,,,,1f7d7e2c-6c3e-4b70-b572-848ea0f2e3ba,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-072,b832740f-0285-496a-8ae7-c0ba3fce708b,e1cb5409-f69e-45e2-b587-aed5764741bd,2024-08-12 21:25:00,2024-08-13 00:20:00,"Narcotics Smuggling Services reported at Ballari Mines Sector B, Ballari","modified vehicle plates, warehouse hideout used",appealed,high,21,35ec4bb7-90e0-43a2-9e8a-289e1339f1a0,demo,,,,236471e0-9aac-4fa6-ad52-7c2f44a3f9ca,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-301,019ae936-623e-4279-8981-d5b369e400f3,ee3d6a63-af53-4c1c-b088-c69307792f39,2026-06-28 18:10:00,2026-06-28 21:50:00,"Domestic Violence reported at Gulbarga University Road, Kalaburagi","crypto mule routing, fake KYC, call spoofing, high-yield investment scam, [ANOMALY_FLAGGED: unexpected high-severity off-hour spike]",investigating,critical,49,c01b3bfb-4c1b-4e70-bd24-9411fd4745f0,demo,,,,237fc4c6-a0df-4e01-b5f6-0625668c5f09,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-BGT-001,53249216-9af1-450e-b498-547d83a6ba26,8534693e-6e1d-4a29-aeae-e35baf000f0a,2026-08-11 14:50:00,2026-08-11 18:10:00,"Assault reported at Bagalkote Main Road, Bagalkote",road rage assault near bus stand,open,medium,20,b9af6e21-ff39-4174-bce7-d4fcdcfc9a9d,demo,,,,25117bce-b422-4250-8f44-05d31a9f55a6,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-044,53249216-9af1-450e-b498-547d83a6ba26,f28f2835-1a22-40c8-8155-aa4de5555767,2024-05-21 21:15:00,2024-05-22 01:30:00,"Assault reported at Sirsi Town Center, Uttara Kannada","land document forgery, witness intimidation, fake power of attorney",investigating,critical,55,8e38105b-15a3-48cb-8fe4-88a34542ccfa,demo,,,,25c799cd-e971-4437-9c5e-0d76fc07c672,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-006,e8dd85a6-421f-452c-811a-c3bed4e9a18b,32956681-9c4f-455d-a6b2-256d984f22ce,2024-01-28 02:25:00,2024-01-28 04:25:00,"Theft & Burglaries reported at Davanagere Market Road, Davanagere","darknet forum coordination, vehicle reconnaissance, fake identity documents",investigating,high,80,c31cd5b1-71b1-4e9d-a06b-9fadde8f9e6f,demo,,,,27c7cce2-e904-4b01-a2ab-22cb39a67af8,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-100,53249216-9af1-450e-b498-547d83a6ba26,e64fc5b2-4ce1-4c28-b5c3-8a24843777c5,2024-11-05 15:15:00,2024-11-05 20:00:00,"Assault reported at Betageri Cross, Gadag","phishing URL SMS, vehicle reconnaissance, warehouse hideout used",open,critical,31,b19d0b00-458c-4d08-b530-342a4d4f368b,demo,,,,27e38e27-2326-4800-8aa9-adebe6f7adb3,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-238,7da8b3f7-e772-4580-b901-3beb7e65454c,0b55e0d6-42ee-4a1f-9bc0-435f5210decf,2025-12-25 11:50:00,2025-12-25 15:20:00,"Cyber Crime & Online Fraud reported at Tiptur Market Area, Tumkuru","fake customer care portal, OTP interception, remote access app",investigating,low,57,32ef8189-db8a-47c3-b687-3bf34a097b2b,demo,,,,27ea1b5c-4a2f-449b-a65e-3e19e777bca0,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-144,7da8b3f7-e772-4580-b901-3beb7e65454c,e781c2c2-bc8a-4871-883d-091dc864adb0,2025-03-17 13:15:00,2025-03-17 18:05:00,"Cyber Crime & Online Fraud reported at Koppal Town Center, Koppal","cash-only transactions, modified vehicle plates",unsolved,high,66,f477b6e3-1f4a-46d7-a02e-bb78a32dd82b,demo,,,,28b3122f-7ceb-4d4e-bdef-4665211ff616,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-073,019ae936-623e-4279-8981-d5b369e400f3,8ca968cd-085f-4ed9-a02e-90b26d1f329a,2024-08-15 20:10:00,2024-08-15 23:45:00,"Domestic Violence reported at Hubli Traffic Island, Dharwad","distillery raid, illicit arrac transport, unbranded glass bottles",investigating,low,60,905faca5-a4ac-49a1-bc88-1d5e1907b6cb,demo,,,,293e651a-d6bd-4fcb-adfb-12ce7f9d579c,2026-08-29 12:45:07,2026-08-29 12:45:07
CR-2026-DET-292,537eee7f-7c4d-415e-b9be-792c02658f23,1c7e41d2-86d7-41f1-8877-d22fd4eb2a6b,2026-06-03 12:10:00,2026-06-03 16:00:00,"Property Disputes reported at Dharwad Market Yard, Dharwad","interstate transit, concealed false compartment, synthetic MDMA, dead drop",investigating,critical,50,905faca5-a4ac-49a1-bc88-1d5e1907b6cb,demo,,,,2c15a262-7c7f-4c59-aee2-7230ccfe5b34,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-142,b832740f-0285-496a-8ae7-c0ba3fce708b,9f99dfc3-9d40-4c97-832b-59260dfdad8a,2025-03-08 01:25:00,2025-03-08 04:00:00,"Narcotics Smuggling Services reported at Mandya Town Center, Mandya","fake identity documents, warehouse hideout used",investigating,low,45,f36f5a0e-c026-4c91-9ec4-02b25920283e,demo,,,,2d16dbbc-5259-4655-807c-583e2ef6e199,2026-08-29 12:45:08,2026-08-29 12:45:08
CR-2026-DET-286,b832740f-0285-496a-8ae7-c0ba3fce708b,e1cb5409-f69e-45e2-b587-aed5764741bd,2026-05-17 02:10:00,2026-05-17 05:10:00,"Narcotics Smuggling Services reported at Ballari Mines Sector B, Ballari","cash-only transactions, coordinated group activity, fake identity documents",unsolved,critical,72,35ec4bb7-90e0-43a2-9e8a-289e1339f1a0,demo,,,,2d67db3f-33a3-45a1-aa83-3e003159aab8,2026-08-29 12:45:08,2026-08-29 12:45:08
